Applicant_Client_ID,Emphasis Area,Emphasis Area 2,Emphasis Area 3,UU_APPL_CITIZEN,CTZNSHP,AGE,SEX,LOW_INCOME,UU_FIRSTGEN,UU_APPL_NTV_LANG,HAS_LANGUAGE_TEST,TEST_READ,TEST_SPEAK,TEST_WRITE,TEST_LISTEN,MAJOR,GPA,NUM_PREV_INSTS,HAS_GRE_GEN,GRE_VERB,GRE_QUANT,GRE_AW,HAS_GRE_SUBJECT,GRE_SUB,NUM_RECOMMENDS,R_AVG_ORAL,R_AVG_WRITTEN,R_AVG_ACADEMIC,R_AVG_KNOWLEDGE,R_AVG_EMOT,R_AVG_MOT,R_AVG_RES,R_AVG_RATING,RATING,DECISION
3955432,Differential Equations,0,0,No,CHINA,25.5,Male,No,Unspecified,Traditional Chinese,Yes,30,29,28,30,Mathematics,3.2,1,Yes,158,170,3.5,Yes,810,3,10,10,6.7,8.3,3.3,3.3,6.7,6.7,4.95,Admit
3955483,Commutative Algebra,Algebraic Geometry,0,No,INDIA,24.3,Female,Yes,Unspecified,Other,Yes,26,26,23,29,Mathematics,0,1,Yes,152,164,3,No,,3,13.3,13.3,6.7,11.7,11.7,16.7,10,15,4,Reject
3955541,Geometry/Topology,Number Theory,Algebraic Geometry,Yes,UNITED STATES,22.2,Male,No,Unspecified,English,No,,,,,Mathematics,3.53,1,Yes,160,167,3.5,Yes,700,3,13.3,10,20,20,13.3,13.3,6.7,26.7,2.25,Reject
3955553,Algebraic Geometry,Representation Theory,Geometry/Topology,Yes,UNITED STATES,21.2,Male,No,Unspecified,English,No,,,,,Mathematics,3.87,1,Yes,163,170,4,Yes,700,3,16.7,16.7,20,20,20,20,20,30,3.8,Waitlist
3955632,Mathematical Biology,Geometry/Topology,Applied Mathematics,No,LEBANON,24.8,Female,Not Sure,Unspecified,Arabic,No,,,,,Mathematics,3.7,2,Yes,153,164,5,No,,3,13.3,16.7,13.3,16.7,16.7,16.7,13.3,18.3,3.17,Reject
3955649,Commutative Algebra,Algebraic Geometry,Geometry/Topology,Yes,UNITED STATES,25,Male,No,Unspecified,English,No,,,,,Mathematics,3.54,3,Yes,153,160,3.5,Yes,600,3,20,10,13.3,16.7,20,20,13.3,16.7,3.25,Reject
3955679,Geometry/Topology,Applied Mathematics,Differential Equations,No,CHINA,24.2,Female,Yes,Unspecified,Other,Yes,25,22,21,26,Mathematics,3.22,2,Yes,142,164,3,Yes,760,2,5,5,12.5,12.5,15,20,15,10,3.67,Reject
3955737,Algebraic Geometry,Commutative Algebra,Representation Theory,No,KOREA REPUBLIC OF,27.9,Male,No,Unspecified,Korean,No,,,,,Math Education,3.48,2,Yes,166,170,4,Yes,770,3,16.7,16.7,16.7,20,16.7,16.7,16.7,23.3,2.5,Reject
3955745,Applied Mathematics,Mathematical Biology,Undecided,No,CHINA,26.8,Male,Not Sure,Unspecified,Simplified Chinese,Yes,27,19,23,25,Mathematics,3.56,2,Yes,140,169,3,Yes,880,3,13.3,13.3,16.7,20,16.7,16.7,16.7,18.3,4.93,Admit
3955754,Algebraic Geometry,Geometry/Topology,Differential Equations,No,KOREA REPUBLIC OF,22.6,Male,No,Unspecified,Korean,No,,,,,Mathematics,3.83,2,Yes,153,166,3,Yes,820,3,8.3,8.3,20,13.3,13.3,10,3.3,20,3.5,Reject
